"Country";"item_date_published";"num.newspaper";"num.feeds";"av.sents";"num.news"
"347";"Deutschland";2020-06-30;216;1954;-0.0173269799445404;11511
"348";"Deutschland";2020-07-01;217;1969;-0.0120709723869469;11731
"349";"Deutschland";2020-07-02;219;1921;-0.00458134851883225;11253
"350";"Deutschland";2020-07-03;218;1913;-0.0181980587231878;11192
"351";"Deutschland";2020-07-04;185;1296;-0.0265865006328517;5041
"352";"Deutschland";2020-07-05;198;1680;-0.0321871338703735;7092
"353";"Deutschland";2020-07-06;212;1996;-0.0282955405055602;11340
"354";"Deutschland";2020-07-07;215;1935;-0.0388547370915144;11338
"355";"Deutschland";2020-07-08;217;1963;-0.0105068289767561;11312
"356";"Deutschland";2020-07-09;216;1957;-0.0257070619611046;11337
"357";"Deutschland";2020-07-10;214;1935;-0.0239006437764649;11160
"358";"Deutschland";2020-07-11;189;1290;-0.0411977099071275;5119
"359";"Deutschland";2020-07-12;200;1757;-0.0254284868984104;7337
"360";"Deutschland";2020-07-13;216;1978;-0.0226384501828263;10897
"361";"Deutschland";2020-07-14;214;1954;-0.0193758120802935;11357
"362";"Deutschland";2020-07-15;214;1974;-0.0165186482578108;11290
"363";"Deutschland";2020-07-16;215;1940;-0.0207765377185957;11598
"364";"Deutschland";2020-07-17;210;1926;-0.00403092526798044;11019
"365";"Deutschland";2020-07-18;194;1293;-0.0313863586527797;5085
"366";"Deutschland";2020-07-19;203;1710;-0.0131799990143554;7348
"367";"Deutschland";2020-07-20;213;1966;-0.0125547909688365;11000
"368";"Deutschland";2020-07-21;210;1925;-0.0112644667397546;9871
"369";"Deutschland";2020-07-22;215;1933;-0.029602875177604;9828
"370";"Deutschland";2020-07-23;214;1961;-0.0110938471644994;11511
"371";"Deutschland";2020-07-24;216;1938;0.00039610681251147;11046
"372";"Deutschland";2020-07-25;187;1309;-0.0239587088051372;4908
"373";"Deutschland";2020-07-26;201;1718;-0.0426726480611992;7507
"374";"Deutschland";2020-07-27;213;1938;-0.0243040554147593;10845
"375";"Deutschland";2020-07-28;216;1913;-0.0132981480021615;11336
"376";"Deutschland";2020-07-29;215;1942;-0.00356428835157078;11425
"377";"Deutschland";2020-07-30;215;1966;-0.0131895971618701;11457
"378";"Deutschland";2020-07-31;212;1925;-0.00970525140074465;11097
"379";"Deutschland";2020-08-01;195;1295;-0.0412254396347086;5086
"380";"Deutschland";2020-08-02;203;1738;-0.0335002766932701;7414
"381";"Deutschland";2020-08-03;214;1932;-0.0209263539104254;10922
"382";"Deutschland";2020-08-04;214;1959;-0.0216757571065972;11204
"383";"Deutschland";2020-08-05;214;1924;-0.0377122813255414;11005
"384";"Deutschland";2020-08-06;214;1935;-0.0334065278592931;11098
"385";"Deutschland";2020-08-07;215;1905;-0.0282772896005866;10969
"386";"Deutschland";2020-08-08;195;1324;-0.0348809805787663;4987
"387";"Deutschland";2020-08-09;204;1702;-0.0190662426718865;6767
"388";"Deutschland";2020-08-10;215;1900;-0.0254121309819466;10043
"389";"Deutschland";2020-08-11;214;1938;-0.00667109473160892;10400
"390";"Deutschland";2020-08-12;214;1955;-0.0313080364999662;10659
"391";"Deutschland";2020-08-13;212;1935;-0.00762845708614957;10468
"392";"Deutschland";2020-08-14;209;1859;-0.0105804274155896;9632
"393";"Deutschland";2020-08-15;191;1331;-0.0309764214672674;4683
"394";"Deutschland";2020-08-16;202;1746;-0.0391575790619437;6856
"395";"Deutschland";2020-08-17;214;1751;-0.0309137986696956;8872
"396";"Deutschland";2020-08-18;125;954;0.0182591978988845;2739
"397";"Deutschland";2020-08-19;139;1026;0.0341949584428406;3216
"398";"Deutschland";2020-08-20;155;1260;0.0210941993235529;4328
"399";"Deutschland";2020-08-21;178;1529;-0.008242703840024;5689
